Molecule	name_new	BA_suppl	BSH_strain	cult_plt	plate_location	0h	48h	baseline_chng	condition
GCDCA	GDCA-AZ-52	GDCA	AZ-52	P2	F7	1191412864	2221547	0.00186463237494082	NA
GCDCA	GCDCA-AZ-52	GCDCA	AZ-52	P2	F8	490758880	357687936	0.728846588106879	NA
GCDCA	GUDCA-AZ-52	GUDCA	AZ-52	P2	F9	4436221	1606354	0.362099552276689	NA
GCDCA	GCA-AZ-52	GCA	AZ-52	P2	F10	355982	63666	0.17884561903237	NA
GCDCA	TLCA-EcAZ-1-cat	TLCA	EcAZ-1-cat	P2	G1	205204	0	0	NA
GCDCA	TDCA-EcAZ-1-cat	TDCA	EcAZ-1-cat	P2	G2	317754	0	0	NA
GCDCA	TCDCA-EcAZ-1-cat	TCDCA	EcAZ-1-cat	P2	G3	248736	23198	0.0932631655121675	NA
GCDCA	TUDCA-EcAZ-1-cat	TUDCA	EcAZ-1-cat	P2	G4	67819	0	0	NA
GCDCA	TCA-EcAZ-1-cat	TCA	EcAZ-1-cat	P2	G5	273707	0	0	NA
GCDCA	GLCA-EcAZ-1-cat	GLCA	EcAZ-1-cat	P2	G6	1375479	241951	0.175902957513014	NA
GCDCA	GDCA-EcAZ-1-cat	GDCA	EcAZ-1-cat	P2	G7	1109280384	144180	0.000129976155667803	NA
GCDCA	GCDCA-EcAZ-1-cat	GCDCA	EcAZ-1-cat	P2	G8	543838528	642408192	1.1812480318032	NA
GCDCA	GUDCA-EcAZ-1-cat	GUDCA	EcAZ-1-cat	P2	G9	5392515	3848899	0.713748276314804	NA
GCDCA	GCA-EcAZ-1-cat	GCA	EcAZ-1-cat	P2	G10	206763	68198	0.329834980944458	NA
GCDCA	TLCA-ctrl	TLCA	ctrl	P2	H1	69127	10192	0.147436639277861	NA
GCDCA	TDCA-ctrl	TDCA	ctrl	P2	H2	56325	14425	0.256098427014168	NA
GCDCA	TCDCA-ctrl	TCDCA	ctrl	P2	H3	153768	17773	0.115582464606	NA
GCDCA	TUDCA-ctrl	TUDCA	ctrl	P2	H4	120891	6930	0.0573238923998279	NA
GCDCA	TCA-ctrl	TCA	ctrl	P2	H5	62446	26695	0.427482505164379	NA
GCDCA	GLCA-ctrl	GLCA	ctrl	P2	H6	782437	346954	0.443426827429138	NA
GCDCA	GDCA-ctrl	GDCA	ctrl	P2	H7	1857905920	517711	0.000278652968456738	NA
GCDCA	GCDCA-ctrl	GCDCA	ctrl	P2	H8	720954880	390601280	0.541783252036822	NA
GCDCA	GUDCA-ctrl	GUDCA	ctrl	P2	H9	7786961	5057284	0.649455333158169	NA
GCDCA	GCA-ctrl	GCA	ctrl	P2	H10	226107	21804	0.0964317936561289	NA
GCDCA	TLCA-Dny-BSH1	TLCA	Dny-BSH1	P3	A1	87455	84880	0.970545188437614	FT
GCDCA	TDCA-Dny-BSH1	TDCA	Dny-BSH1	P3	A2	2061756	919566	0.446010853849411	FT
GCDCA	TCDCA-Dny-BSH1	TCDCA	Dny-BSH1	P3	A3	538606	43963	0.0816235214172857	FT
GCDCA	TUDCA-Dny-BSH1	TUDCA	Dny-BSH1	P3	A4	59792	132450	2.21514224073052	FT
GCDCA	TCA-Dny-BSH1	TCA	Dny-BSH1	P3	A5	96888	102334	1.05619833004779	FT
GCDCA	GLCA-Dny-BSH1	GLCA	Dny-BSH1	P3	A6	610090	100686	0.165034396508062	FT
