rt_matched_detected_BA	BSH_strain	t0hvt48h	culture_supplement_BA
GLCA	Dny-BSH2	0.219697373938159	TLCA
Phe-UDCA	Dny-BSH2	0.220500604942593	GLCA
GCDCA	Dny-BSH1	0.220542476918061	GDCA
GDCA	ctrl	0.222769112188967	TCA
Phe-UDCA	Lgasseri-BSH	0.222867867909269	GLCA
GCA	Dny-BSH2	0.222891311703162	GLCA
GDCA	ctrl	0.224148070651227	GUDCA
Phe-UDCA	EcAZ-1-cat	0.22428189938333	TLCA
GCDCA	ctrl	0.226821597999411	TDCA
GCDCA	Lgasseri-BSH	0.227396106747251	GCA
Phe-UDCA	Dny-BSH2	0.228129824439179	GDCA
Trp-UDCA	Lgasseri-BSH	0.229448165274398	TDCA
GUDCA	Lgasseri-BSH	0.229941794223399	GLCA
Trp-UDCA	Ep-BSH101	0.230024803823384	GUDCA
GUDCA	Dny-BSH2	0.230123519503975	GLCA
TDCA	Lgasseri-BSH	0.230339027316862	TDCA
TUDCA	Dny-BSH2	0.231519979159631	GUDCA
GLCA	Lgasseri-BSH	0.231720412978783	GCDCA
GLCA	Dny-BSH1	0.231831632944175	GCDCA
GCDCA	Ep-BSH101	0.232099781453064	TCDCA
GDCA	Ep-BSH101	0.232340322423467	GLCA
GDCA	LCAG-95-BSH1208	0.232563447797525	TCA
GCA	ctrl	0.232648676395276	GLCA
GUDCA	EcAZ-1-cat	0.232949196332147	GLCA
Trp-UDCA	Ep-BSH101	0.236404404455095	TUDCA
TUDCA	Dny-BSH1	0.2365664556701	GCDCA
GDCA	LCAG-95-BSH1208	0.23710777958349	TUDCA
GCDCA	Dny-BSH1	0.237754988727014	TUDCA
TDCA	ctrl	0.238676762924442	TDCA
GCA	Dny-BSH1	0.240117370715005	TCA
GDCA	Dny-BSH2	0.240367951761712	GDCA
TUDCA	Lgasseri-BSH	0.240952141205348	GCDCA
Phe-UDCA	Dny-BSH2	0.241748213061309	GCA
GCDCA	Ep-BSH101	0.242076492075541	GCDCA
GLCA	AZ-52	0.244415290516736	GDCA
Trp-UDCA	EcAZ-1-cat	0.244799713081335	TCA
GLCA	LCAG-95-BSH1208	0.245155488697943	GDCA
GDCA	Lgasseri-BSH	0.245867412975106	GDCA
GCDCA	Dny-BSH1	0.248860083076072	TLCA
Trp-UDCA	Ep-BSH101	0.249701356952709	GDCA
TUDCA	Dny-BSH1	0.253359095155258	TLCA
GCA	LCAG-95-BSH1208	0.254616241205941	GUDCA
GUDCA	Dny-BSH2	0.254673622444698	GDCA
Lys-CDCA	Dny-BSH1	0.256204542493328	GCDCA
GLCA	ctrl	0.257856470110575	GDCA
GUDCA	Lgasseri-BSH	0.260300613749469	TCA
GDCA	Lgasseri-BSH	0.261500091321208	GCDCA
GCA	Dny-BSH2	0.262300128543621	TCA
GCA	Dny-BSH2	0.262388187795168	TDCA
GLCA	Dny-BSH1	0.262694363521444	TCA
TCAA	Dny-BSH2	0.263462968045718	TDCA
GCA	ctrl	0.263502574534538	GCA
GCDCA	EcAZ-1-cat	0.263903781305586	GLCA
GDCA	ctrl	0.264557069580456	TDCA
GLCA	Dny-BSH2	0.265137985297334	TDCA
Trp-UDCA	AZ-52	0.26648644265827	GDCA
Trp-UDCA	Dny-BSH2	0.268818138984732	TCDCA
GDCA	Dny-BSH1	0.270724074861452	GUDCA
Trp-UDCA	Lgasseri-BSH	0.271131497697999	TLCA
GDCA	Lgasseri-BSH	0.271150378899011	TDCA
TUDCA	ctrl	0.271657426449321	TUDCA
TCDCA	Dny-BSH2	0.271913966273324	TCA
TCDCA	AZ-52	0.272165010808415	TCA
GLCA	Dny-BSH1	0.273140605894774	TUDCA
GCDCA	AZ-52	0.273450949110791	TDCA
TDCA	EcAZ-1-cat	0.27364077212403	TDCA
Trp-UDCA	AZ-52	0.273751447341094	GUDCA
TUDCA	Ep-BSH101	0.274482776587184	TCDCA
GCDCA	AZ-52	0.274913724632479	TCDCA
GCDCA	LCAG-95-BSH1208	0.275066846120773	GLCA
TDCA	ctrl	0.275995391363293	TCDCA
Phe-UDCA	Dny-BSH2	0.281601311373261	TCDCA
GCDCA	Dny-BSH2	0.281742230359189	GDCA
GCDCA	LCAG-95-BSH1208	0.282426128873374	TCA
GCA	Lgasseri-BSH	0.283098383624177	GCDCA
GLCA	Dny-BSH2	0.283994753746026	TCDCA
Trp-UDCA	Lgasseri-BSH	0.284396975315587	GCA
GCA	EcAZ-1-cat	0.284758370479406	TDCA
Phe-UDCA	Lgasseri-BSH	0.284822093712267	GDCA
TLCA	EcAZ-1-cat	0.284975371011419	TLCA
Trp-UDCA	Ep-BSH101	0.289664749281949	TCDCA
GCDCA	Lgasseri-BSH	0.296702828733779	TCDCA
GCA	Dny-BSH2	0.300169071132841	TLCA
GCA	Dny-BSH2	0.301470734097717	TCDCA
TCAA	EcAZ-1-cat	0.301683722154961	TDCA
GCDCA	ctrl	0.302951294691691	GLCA
TCAA	Dny-BSH2	0.305501790684479	TCA
GDCA	Dny-BSH2	0.307472637078754	GLCA
TDCA	Dny-BSH2	0.309393446881345	TCDCA
