Feature	Intercept_mean	C(condition, Treatment('FA'))[T.FT]_mean	C(condition, Treatment('FA'))[T.NA]_mean	Intercept_std	C(condition, Treatment('FA'))[T.FT]_std	C(condition, Treatment('FA'))[T.NA]_std	Intercept_hdi	C(condition, Treatment('FA'))[T.FT]_hdi	C(condition, Treatment('FA'))[T.NA]_hdi
tr_A0A1J0A614_A0A1J0A614_9ENTE	-12.397178510000026	-2.7402044957300045	2.8937883073799995	2.0703669634836195	3.7361573356652076	2.129052211794225	(-16.6151, -9.09871)	(-9.75606, 4.19331)	(-0.765233, 7.07889)
tr_S5QWI2_S5QWI2_9STRE	-10.760898515899967	1.4806160462900027	0.430259988434999	2.983295572875732	2.8890131896912545	2.7221797330964606	(-16.4006, -5.12446)	(-3.79788, 7.37847)	(-4.50757, 5.92059)
tr_R5XC26_R5XC26_9FIRM	-11.435450174999989	1.2540768340815796	3.456082503800004	1.6120145800543229	1.977678635858333	1.6564984987661129	(-14.3884, -8.74445)	(-2.39966, 5.00496)	(0.711934, 6.56325)
tr_A0A4R3Z8B6_A0A4R3Z8B6_9FIRM	-8.694085515000035	-0.542399785345	1.9192189989999988	0.5885752791087426	0.969910718413048	0.6087138979798852	(-9.80043, -7.67782)	(-2.2482, 1.48191)	(0.790153, 3.01025)
tr_A0A6N2ZHG9_A0A6N2ZHG9_CLOSY	-9.083852465000009	0.3649831108329995	2.2906693905500015	0.8048611753529766	1.0238747069063445	0.8479284539630936	(-10.6073, -7.7265)	(-1.59164, 2.24007)	(0.819359, 3.87975)
tr_A0A412JV09_A0A412JV09_BACUN	-8.26192774500001	-5.154329272405006	-2.8072527496500013	0.5267623160917695	2.8772709984124596	1.2132157702393775	(-9.31764, -7.27363)	(-10.733, -0.567023)	(-5.30009, -0.716267)
tr_A0A140DV06_A0A140DV06_9FIRM	-8.01005370999998	-1.6794459597949987	0.09546320724500001	1.0820998013566667	1.748994292997738	1.2737993676254433	(-9.96622, -6.17663)	(-5.16858, 1.25293)	(-2.17051, 2.62078)
tr_R6VWD6_R6VWD6_9FIRM	-7.66542792999999	0.362864168245001	0.7088161468614991	0.3890558974141313	0.5077666976886848	0.4199187357958467	(-8.36274, -6.92586)	(-0.591742, 1.29186)	(-0.099047, 1.49628)
tr_A0A1T4M4E3_A0A1T4M4E3_9FIRM	-11.670568055000018	1.528403490947003	2.8109005627149983	1.7650898839868392	2.016058799424156	1.819530639719534	(-14.844, -8.55136)	(-2.11479, 5.33438)	(-0.653799, 5.87016)
tr_A0A926IEI1_A0A926IEI1_9FIRM	-8.319511335000005	-0.27626757792400003	-0.42440077274500027	0.7612191416533526	1.1413448619044413	0.9857666465007405	(-9.63701, -6.81608)	(-2.60168, 1.63859)	(-2.29314, 1.47668)
tr_A0A3B7LU96_A0A3B7LU96_9GAMM	-11.588363715900016	-2.4698285885299964	2.650394237717707	2.970704795542848	4.00955521350896	2.808836730900838	(-17.7105, -6.1706)	(-10.7277, 4.05834)	(-2.18089, 8.38572)
tr_A0A2S7MW92_A0A2S7MW92_9BACI	-11.005588734500021	2.0970148288100017	1.690922690205001	2.1731328267499608	2.236849954324098	2.1685502336562954	(-15.7199, -7.38612)	(-1.83527, 6.42186)	(-2.37078, 5.9059)
tr_H7G1D2_H7G1D2_9LACO	-12.45502873000001	-2.6765880988819992	2.8577935572699986	2.040882785120077	3.7708493984391893	2.0954458217363703	(-16.0341, -8.71269)	(-9.5036, 4.00946)	(-0.857102, 6.73974)
tr_C7AQY5_C7AQY5_9LACO	-12.299329439999996	-2.571418095735003	2.175670985912502	2.5823263504299936	4.082295118521871	2.5135528478530746	(-18.3556, -8.53533)	(-9.94325, 4.86487)	(-2.28802, 6.94541)
tr_A0A0R1Z9U8_A0A0R1Z9U8_9LACO	-12.299329439999996	-2.571418095735003	2.175670985912502	2.5823263504299936	4.082295118521871	2.5135528478530746	(-18.3556, -8.53533)	(-9.94325, 4.86487)	(-2.28802, 6.94541)
tr_B5ACH5_B5ACH5_LACPN	-11.588363715900016	-2.4698285885299964	2.650394237717707	2.970704795542848	4.00955521350896	2.808836730900838	(-17.7105, -6.1706)	(-10.7277, 4.05834)	(-2.18089, 8.38572)
tr_R6YVJ4_R6YVJ4_9ACTN	-11.394047184999975	1.1799082200250006	4.438598099999994	1.5896114522116818	1.9331142015593579	1.5963577670610318	(-14.7435, -8.93607)	(-2.35546, 5.0064)	(1.90172, 7.73301)
tr_A0A8J3ZI13_A0A8J3ZI13_9ACTN	-12.63555257499999	-2.655769642810002	2.190301301483498	2.1588320517496076	3.764504106683807	2.240450532551615	(-16.9004, -9.09868)	(-10.0891, 4.06091)	(-1.56912, 6.6388)
tr_A0A3E4QZA8_A0A3E4QZA8_9ACTN	-12.688533575	-2.628019252495	2.7485703501899956	2.1370851134909365	3.8114866170044044	2.1710900710795067	(-16.5133, -9.10762)	(-9.75625, 4.13136)	(-0.799299, 7.04452)
