name	ratio	min	max	phase
Bacteroides salyersiae CL02T12C01-I9SXL6	0.275612297374	-1.053	1.60008	light
[Clostridium] leptum DSM 753-A0A855A885	-0.3131100625305	-1.6286	0.862819	light
Francisella novicida-A0A2L1CJ70	-2.470502615701	-8.94902	4.67855	light
Rhodococcus erythropolis (strain PR4 / NBRC 100887)-C0ZSU9	-2.72311323458	-8.85948	4.54233	light
Alistipes finegoldii-A0A174B4J7	-2.58788728124	-9.70925	3.2745	light
Lactococcus lactis subsp. hordniae-A0A2A5SGY8	-2.49346099474	-9.8991	4.26684	light
Lactococcus lactis subsp. lactis bv. diacetylactis-A0A5P3IFE5	-2.49346099474	-9.8991	4.26684	light
Luteibacter pinisoli-A0A4Y5Z8H0	2.39213882872	-0.894798	6.23658	light
Enterococcus casseliflavus 14-MB-W-14-S4B775	-3.74651626477501	-10.1421	1.59178	light
Salmonella enterica (Salmonella choleraesuis)-A0A5U6BUS2	0.3141709705674	-0.164773	0.788742	light
Longibaculum muris-A0A4R3Z8B6	-0.758186241425	-2.43876	0.978542	light
Enterococcus faecium (Streptococcus faecium)-A0A8B2RPQ9	-2.61533082973	-9.61356	4.11875	light
Legionella spiritensis-A0A0W0Z5D4	-2.75515629663	-9.63882	3.41856	light
Anaerostipes rhamnosivorans-A0A4V1EGD2	-2.469112567205	-9.75568	4.08143	light
Nonomuraea polychroma-A0A438LZU0	-2.606334068615	-10.0367	3.77654	light
Candidatus Weimeria bifida-A0A6N7IZJ4	-2.51168884009	-9.20544	4.35812	light
Bacteroides sp. CAG:144-R5YLD6	-2.946356377425	-9.79717	3.54608	light
Lampropedia aestuarii-A0A4S5BNN1	-2.85356136944	-10.3536	3.40155	light
Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)-Q9CEK2	-3.86394806388001	-9.66854	1.3492	light
Bacteroides fragilis-A0A0I9S5E4	-2.470502615701	-8.94902	4.67855	light
Enterocloster bolteae-A0A6N2XTU3	0.22476539321	-1.00606	1.4687	light
Saccharothrix tamanrassetensis-A0A841CPE6	-3.42661775998	-10.2992	3.51478	light
Acidocella aminolytica 101 = DSM 11237-A0A0D6PK57	-2.373651939875	-9.32048	4.09355	light
Anaerobutyricum hallii-A0A174FU81	1.4373050293315	-0.437709	3.49303	light
Rhodococcus rhodochrous-A0A6I4WZI8	-3.80642566645351	-9.92779	1.25092	light
Acuticoccus mangrovi-A0A934ITI5	-2.81411719666	-9.78305	2.91598	light
Enterococcus cecorum DSM 20682 = ATCC 43198-S1R0R2	-2.68842217434249	-9.93611	3.29554	light
Enterococcus faecalis (Streptococcus faecalis)-A0A3N3RSI8	-2.36205535448	-9.29606	5.40824	light
Treponema bryantii-A0A1H9GIX4	-1.135624827109	-2.689	0.330641	light
Lachnospira pectinoschiza-A0A174YQK7	-2.462732197235	-10.8787	4.25066	light
Roseburia sp. CAG:45-R6P0A1	2.353359305149	-0.902068	6.06133	light
Lactobacillus johnsonii-A0A1B3PS02	-2.4651924132094	-9.90295	5.0269	light
Alkalimonas amylolytica-A0A1H4EA38	-2.72311323458	-8.85948	4.54233	light
Subtercola boreus-A0A3E0WAZ2	-3.561787061219	-10.2094	1.95906	light
Slackia isoflavoniconvertens-A0A369LEA8	1.094041651915	-1.62299	4.38027	light
Clostridium sp. CAG:230-R6DRK3	0.73787024306755	-0.300772	1.70079	light
