FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF04310.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PF16330.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PF00490.24	0	2	0	0	0	0	0	0	2	5	0	1	0	2	5	1	2	5	0	3	2	1	4	1	2	2	1	2	4	2
PF17931.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PF13768.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	4	3	0	1	0	0	0	1	4	0	0
PF02569.18	2	3	0	0	0	0	4	1	2	4	1	0	2	2	4	2	3	15	2	8	5	1	0	3	1	3	3	4	4	1
PF16732.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF20437.1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	3	0	0	0	0	0	1	2	0	0
PF13654.9	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	3	0	0	0	0	0	1	2	0	0
PF20436.1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	3	0	0	0	0	0	1	2	0	0
PF00415.21	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	7	43	3	16	0	0	0	6	3	0	0	0	0	0
PF13540.9	0	2	0	0	0	2	0	0	0	0	0	0	0	7	3	1	4	4	2	3	3	0	0	0	0	1	1	2	2	2
PF18019.4	0	0	0	0	0	8	0	0	0	0	0	1	2	2	7	1	1	6	0	3	3	1	6	2	3	0	0	4	14	1
PF01627.26	39	159	8	54	31	172	31	38	23	46	15	21	164	83	92	74	40	79	208	71	69	164	91	73	150	51	88	132	81	108
PF13646.9	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	7	2	0	3	2	0	0	0	0	0	0	0	2	0
