FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF01368.23	5	25	5	15	16	32	8	8	19	23	11	17
PF02833.17	0	5	0	3	5	4	4	1	10	5	3	5
PF01595.23	3	8	6	5	14	15	4	4	2	13	5	7
PF00571.31	17	81	10	41	65	86	32	50	58	56	36	52
PF03471.20	3	8	6	5	14	15	4	4	2	13	5	8
PF17760.4	0	9	5	6	8	28	2	7	7	3	8	5
PF17755.4	0	9	5	6	8	28	2	7	7	3	8	5
PF04263.19	1	2	0	1	1	3	1	0	2	2	0	0
PF04265.17	1	2	0	1	1	3	1	0	2	2	0	0
PF00582.29	2	2	1	1	11	1	0	2	0	4	2	1
PF19300.2	3	7	0	1	4	8	2	3	9	3	1	8
PF08352.15	10	29	19	19	21	44	17	24	17	20	20	29
PF01134.25	0	13	2	2	4	6	0	1	6	1	5	4
PF13932.9	0	13	1	1	4	5	0	1	5	1	4	4
PF01406.22	3	10	0	2	10	3	1	3	7	2	2	8
PF09190.14	3	10	0	2	10	3	1	3	6	1	1	8
PF01138.24	18	48	8	38	52	83	18	20	28	51	12	33
PF03725.18	14	29	6	25	44	52	12	14	23	33	11	25
PF03726.17	9	24	3	15	21	32	7	9	11	17	5	15
PF00013.32	50	156	11	91	81	204	44	48	74	78	46	111
PF00575.26	149	541	29	344	486	657	192	182	208	254	98	340
PF00009.30	345	862	84	763	537	1164	291	460	502	596	240	745
PF03144.28	325	807	62	736	482	1110	277	452	481	568	225	686
PF03143.20	197	468	41	446	275	617	160	272	293	330	132	367
PF00133.25	13	63	6	37	46	79	19	32	35	42	24	52
PF08264.16	16	63	7	37	44	83	22	35	40	48	27	60
PF06827.17	0	1	1	1	1	3	0	0	1	0	9	1
PF00091.28	6	28	2	11	12	37	7	9	20	21	13	21
PF12327.11	6	28	2	10	12	37	7	9	20	21	12	21
PF00126.30	1	8	0	10	1	11	4	4	9	7	7	6
PF03466.23	1	8	0	11	1	11	4	3	10	6	7	6
PF04055.24	32	91	21	60	40	130	42	41	61	43	36	48
PF13394.9	4	4	4	4	8	9	2	2	0	0	6	1
PF01029.21	2	11	1	3	4	12	1	1	6	8	2	9
PF01189.20	1	2	2	1	5	3	1	2	5	4	0	6
PF04226.16	0	0	0	0	4	1	0	0	0	2	5	4
PF00551.22	3	18	3	6	0	14	4	5	7	9	5	12
