#FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c	Name
PF19269.2	9.126	39.602	5.55	14.466	9.325	64.375	16.916	17.432	12.078	18.284	11.354	6.863	6.427	4.852	19.936	10.721	2.14	14.036	9.732	17.925	13.639	17.927	28.442	2.33	112.175	61.322	76.935	39.608	47.488	135.435	168.967	72.844	74.807	120.04	61.589	50.392	70.213	21.124	34.299	81.645	57.69	39.138	Anticodon binding domain
PF03946.17	48.127	169.368	9.419	248.628	117.09	417.03	109.38	138.78	85.376	145.025	147.405	96.145	116.677	127.077	127.909	156.959	53.307	177.866	8.217	76.011	101.725	259.966	138.826	54.534	1013.722	318.748	559.323	239.996	163.848	308.731	989.487	217.526	206.201	1189.117	718.631	682.471	642.533	359.957	507.676	798.791	273.551	473.355	Ribosomal protein L11, N-terminal domain
PF00298.22	48.127	169.368	9.419	248.628	117.09	417.03	109.38	138.78	85.376	145.025	147.405	96.145	105.385	127.077	127.909	156.959	53.307	177.866	8.217	76.011	101.725	259.966	139.618	54.534	1013.722	318.748	559.323	239.996	186.922	308.731	989.487	217.526	206.201	1189.117	718.631	682.471	642.533	359.957	488.678	774.147	273.551	473.355	Ribosomal protein L11, RNA binding domain
PF00466.23	49.08	148.227	7.495	130.295	98.305	385.292	84.668	141.127	88.202	149.398	139.34	109.339	11.734	73.191	58.235	106.006	68.089	179.169	78.974	90.817	155.904	298.091	124.629	42.714	1388.989	188.995	249.377	77.052	48.473	191.564	1095.741	107.237	65.556	1099.399	507.684	483.613	310.488	157.477	118.867	1349.735	81.832	238.694	Ribosomal protein L10
PF16320.8	128.905	457.781	100.292	197.392	235.662	756.041	181.958	177.663	153.601	227.609	294.944	239.052	151.519	144.574	244.717	357.193	69.808	452.83	155.388	200.045	403.837	528.681	281.971	99.934	2924.541	617.156	417.776	225.979	219.732	445.235	1470.253	194.907	261.457	3077.706	790.916	607.033	711.56	533.647	332.666	3605.056	367.254	470.63	Ribosomal protein L7/L12 dimerisation domain
PF00542.22	128.905	473.998	100.292	197.392	235.662	771.6	181.958	205.913	153.601	227.609	294.944	254.392	151.519	144.574	244.717	357.193	69.808	452.83	155.388	200.045	403.837	545.303	281.971	99.934	3000.639	617.156	417.776	225.979	219.732	445.235	1470.253	214.092	299.425	3077.706	790.916	607.033	711.56	533.647	332.666	3716.775	367.254	504.69	Ribosomal protein L7/L12 C-terminal domain
PF02575.19	0.0	31.19	0.0	20.029	0.0	59.596	0.0	0.0	10.097	9.647	0.0	11.17	0.0	0.0	8.643	11.139	0.0	0.0	0.0	0.0	0.0	10.656	27.174	9.623	16.261	53.641	14.393	42.175	0.0	143.33	48.857	121.753	12.067	63.437	27.471	12.579	45.778	0.0	12.665	65.171	69.495	33.036	YbaB/EbfC DNA-binding family
PF02132.18	9.008	30.563	0.0	5.852	8.983	92.993	10.12	20.73	0.0	22.58	0.0	11.564	5.025	5.751	0.0	6.604	0.0	9.824	0.0	24.993	6.668	37.261	32.223	0.0	19.12	63.533	49.837	0.0	6.231	95.114	58.003	28.783	50.01	29.461	46.936	15.55	54.551	5.842	0.0	58.332	30.962	25.672	RecR protein
PF13662.9	9.008	30.563	0.0	5.852	8.983	96.407	10.12	22.278	0.0	22.58	0.0	11.564	5.025	5.751	1.49	6.604	0.0	9.824	0.0	24.993	6.668	37.261	32.223	0.0	22.208	66.191	49.837	2.061	8.81	95.114	58.003	30.104	52.5	29.461	46.936	15.55	54.551	5.842	0.0	69.518	33.763	27.818	Toprim domain
PF06153.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.03	0.0	0.0	0.0	9.376	11.182	8.869	0.0	0.0	0.0	11.159	0.0	0.0	0.0	0.0	0.0	87.918	0.0	0.0	22.212	0.0	0.0	89.054	12.515	25.564	69.638	0.0	0.0	65.806	0.0	11.96	0.0	0.0	0.0	Cyclic-di-AMP receptor
PF00814.28	6.243	36.85	4.111	17.109	6.309	32.463	0.0	15.979	6.898	8.285	4.572	8.374	8.75	17.408	6.101	3.832	0.0	13.883	8.272	19.087	27.807	50.901	23.528	3.199	86.045	41.741	103.99	79.551	29.522	142.371	151.022	105.075	69.577	71.998	63.673	43.549	51.342	34.167	28.385	45.93	95.215	45.535	tRNA N6-adenosine threonylcarbamoyltransferase
PF00709.24	2.095	8.529	3.279	8.27	12.994	10.938	4.824	17.388	8.367	21.326	15.715	16.202	2.435	8.469	7.16	27.609	10.226	15.938	5.696	2.921	15.458	11.598	9.981	0.0	133.19	44.185	54.74	62.878	29.072	67.771	104.335	73.746	43.146	112.669	86.266	18.001	60.357	29.916	21.153	105.679	59.263	29.664	Adenylosuccinate synthetase
PF00166.24	28.107	63.49	14.676	86.054	29.504	195.143	10.886	88.862	37.362	71.276	47.888	60.181	11.056	50.462	74.699	137.344	34.325	122.524	50.681	38.954	27.938	234.201	100.787	35.486	560.784	247.931	178.247	77.366	39.939	165.051	243.257	107.242	133.953	144.688	251.103	227.868	491.055	340.649	391.306	1114.681	69.533	506.388	Chaperonin 10 Kd subunit
PF05496.15	6.034	12.63	3.961	15.585	6.79	12.335	5.488	14.791	9.869	0.0	8.248	2.727	7.171	6.353	7.676	8.9	8.8	14.763	5.543	2.846	2.954	13.936	6.175	0.0	32.715	52.977	69.22	45.613	46.95	148.189	66.871	85.087	44.222	39.238	58.446	25.251	34.722	22.36	25.773	84.497	95.107	23.013	Holliday junction DNA helicase RuvB P-loop domain
PF17864.4	0.0	7.211	3.961	10.237	2.516	6.978	3.133	12.379	7.156	0.0	3.223	0.0	0.0	3.595	3.053	0.0	6.339	5.888	0.0	0.0	0.0	11.209	6.175	0.0	28.514	42.101	49.618	28.526	29.48	89.881	44.659	61.869	20.896	17.217	47.369	18.344	26.45	16.998	11.22	49.707	60.407	23.013	RuvB AAA lid domain
PF05491.16	0.0	7.211	3.961	10.237	2.516	6.978	3.133	12.379	7.156	0.0	3.223	0.0	0.0	3.595	3.053	0.0	6.339	5.888	0.0	0.0	0.0	11.209	6.175	0.0	28.514	42.101	49.618	28.526	29.48	89.881	44.659	61.869	20.896	17.217	47.369	18.344	26.45	16.998	11.22	49.707	60.407	23.013	RuvB C-terminal winged helix domain
