FeatureID	rab.all	rab.win.FT	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF00274.22	1.08559730795698	2.98889624936435	-0.882314605486341	3.79552747498959	3.0896046732284	-1.10810860227091	0.098600974472903	0.0108765947952027	0.238231131142714	0.0118713286713287	0.262331132453223
PF14505.9	-1.8450110628637	-1.13009162545937	-2.34802827123904	1.11074807138036	4.32102790038113	-0.230025977679628	0.393737512444108	0.514009724540407	0.886379148009535	0.528177822177822	0.906374836930605
PF14131.9	-2.22281058556488	-1.29718146604174	-2.73653827564588	1.48931459811114	3.95419546881257	-0.324829396358409	0.342666673134211	0.418660224058385	0.827859314627476	0.4217998001998	0.837041272950581
PF06612.14	-2.2329150295578	-0.677435158598485	-3.03355593038056	2.28954390886786	4.12391701767808	-0.474195296136248	0.264666677863006	0.294592959408502	0.715735222543511	0.26623976023976	0.710189799017284
PF06998.14	-0.902343426769566	0.281321432610946	-1.80793641341084	1.87503965478438	4.11166809342	-0.395909534527941	0.29713525215332	0.312993947440453	0.777965669119838	0.313039360639361	0.80972498736975
PF13406.9	-2.188600618409	-1.32591291662864	-2.7748751409698	1.47486107235325	4.32442385107408	-0.29045586728269	0.349766828226818	0.442823497840867	0.824370737528636	0.439414185814186	0.838867199967239
PF12512.11	-2.17354359533893	-1.21072058731486	-2.72620570605609	1.63952894053116	4.13913706216789	-0.333266531664786	0.335109933558651	0.41472770934483	0.80498080467851	0.41761038961039	0.817553907734427
PF06945.16	-2.18222474239726	-1.19786479874211	-2.66942058487898	1.53550346450911	4.24128438519424	-0.306964104778149	0.332666673645881	0.427891543583223	0.833149690367201	0.425776623376623	0.837680685677925
PF07622.14	-2.16046484615098	-1.21719937068646	-2.71521202871173	1.58567996659895	4.2491515832766	-0.311465733109713	0.342438380887421	0.422802490676206	0.80796473396374	0.418793606393606	0.818584573622455
PF09055.14	-2.19275599671611	-1.25117758603095	-2.69781557393806	1.43595576851057	4.17869186839753	-0.291463733453489	0.352666672642312	0.449542265427516	0.825951452703874	0.440230969030969	0.830631488248534
