FeatureID	Name	GO_Term	comparison	datatype	diffexpr	rab.all	rab.win.A	rab.win.B	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF00627.34	UBA/TS-N domain	NA	FAvNA	metaG	none	-2.40424726518516	-2.83161171956196	-2.07680946666371	-0.764462839406346	4.38543601488171	0.160544669732105	0.423000000730283	0.443808680603559	0.558762724671361	0.432329114355489	0.534861090710565
PF13188.10	PAS domain	NA	FAvNA	metaT	none	1.6813672476237	1.35863550726753	2.03503602741412	-0.583560944699908	2.78173717223357	0.152219847483029	0.397534156271262	0.597453591887425	0.708363644221951	0.407956010265544	0.534886349979928
PF13188.10	PAS domain	NA	FAvNA	metaG	none	1.6813672476237	1.35863550726753	2.03503602741412	-0.583560944699908	2.78173717223357	0.152219847483029	0.397534156271262	0.597453591887425	0.708363644221951	0.407956010265544	0.534886349979928
PF08461.13	Ribonuclease R winged-helix domain	NA	FAvNA	metaT	none	-2.43532837889039	-2.85962231244406	-2.12299754561013	-0.843346073541881	4.36407135702345	0.157872317196641	0.415000000810459	0.447465713937349	0.5598454928939	0.432689743896126	0.534923891545043
PF08461.13	Ribonuclease R winged-helix domain	NA	FAvNA	metaG	none	-2.43532837889039	-2.85962231244406	-2.12299754561013	-0.843346073541881	4.36407135702345	0.157872317196641	0.415000000810459	0.447465713937349	0.5598454928939	0.432689743896126	0.534923891545043
PF18451.4	Contact-dependent growth inhibition CdiA C-terminal domain	NA	FAvNA	metaT	none	-2.42257754096896	-2.90347195276645	-2.06371850086686	-0.805769843087242	4.27230430960106	0.17135418551861	0.414333334150532	0.456464489113243	0.568080038017548	0.434075216457705	0.534995915142144
PF18451.4	Contact-dependent growth inhibition CdiA C-terminal domain	NA	FAvNA	metaG	none	-2.42257754096896	-2.90347195276645	-2.06371850086686	-0.805769843087242	4.27230430960106	0.17135418551861	0.414333334150532	0.456464489113243	0.568080038017548	0.434075216457705	0.534995915142144
PF18860.4	AbiJ N-terminal domain 3	NA	FTvNA	metaT	none	-2.88452311931056	-3.49903150838385	-2.42749125240188	-1.03167176215185	4.11890162568759	0.211874890707654	0.380000001179023	0.399305035928477	0.569237266160768	0.375748048728672	0.535025694718581
PF18860.4	AbiJ N-terminal domain 3	NA	FTvNA	metaG	none	-2.88452311931056	-3.49903150838385	-2.42749125240188	-1.03167176215185	4.11890162568759	0.211874890707654	0.380000001179023	0.399305035928477	0.569237266160768	0.375748048728672	0.535025694718581
PF00899.24	ThiF family	NA	FTvNA	metaT	none	5.97249828113408	5.84453991739995	6.05884925348557	-0.255039488005105	0.961752845203208	0.246708341215288	0.38500000112429	0.328110256457343	0.56106240853119	0.311846735602702	0.535389847633695
PF00899.24	ThiF family	NA	FTvNA	metaG	none	5.97249828113408	5.84453991739995	6.05884925348557	-0.255039488005105	0.961752845203208	0.246708341215288	0.38500000112429	0.328110256457343	0.56106240853119	0.311846735602702	0.535389847633695
PF17855.4	MCM AAA-lid domain	NA	FTvNA	metaT	none	-2.89167631374978	-3.56423438821104	-2.44060518233086	-0.92336855146101	4.13449307093737	0.192414004948074	0.395000001017075	0.416589369817566	0.579190120322013	0.378341277296574	0.535453071364164
PF17855.4	MCM AAA-lid domain	NA	FTvNA	metaG	none	-2.89167631374978	-3.56423438821104	-2.44060518233086	-0.92336855146101	4.13449307093737	0.192414004948074	0.395000001017075	0.416589369817566	0.579190120322013	0.378341277296574	0.535453071364164
PF00209.21	Sodium:neurotransmitter symporter family	NA	FAvFT	metaT	none	7.01971039081094	6.62656376811246	7.21968006865113	0.38125206122926	0.772314403783962	0.470330262457487	0.314228592464098	0.145242826480278	0.569891617952746	0.138014376389528	0.535460666402887
PF04384.16	Iron-sulphur cluster assembly	iron-sulfur cluster assembly	FTvNA	metaT	none	-3.81580628572216	-3.13441318160019	-4.21259558899038	1.11125783478336	4.28594391836584	-0.220533305943028	0.387204266344592	0.392011073561441	0.546929526803443	0.382758524219672	0.535470653851716
PF04384.16	Iron-sulphur cluster assembly	iron-sulfur cluster assembly	FTvNA	metaG	none	-3.81580628572216	-3.13441318160019	-4.21259558899038	1.11125783478336	4.28594391836584	-0.220533305943028	0.387204266344592	0.392011073561441	0.546929526803443	0.382758524219672	0.535470653851716
PF03824.19	High-affinity nickel-transport protein	nickel cation transmembrane transport	FTvNA	metaT	none	-2.57554641073572	-3.19246552417972	-2.12386451389626	-0.980890560614935	4.05352649194443	0.206128028720798	0.391333334389388	0.407388531753482	0.575567567611381	0.374998942865178	0.535509900092453
