FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c
PF02152.21	0	0	64.387	0	0	0	0	30.627	39.016	0	0	0
PF01288.23	0	0	0	0	0	0	0	30.627	39.016	0	0	23.29
PF01227.25	0	0	0	0	0	0	0	0	0	0	0	23.29
PF01712.22	192.876	288.763	52.646	26.474	41.968	65.218	112.566	39.905	0	0	33.905	0
PF03447.19	180.471	0	214.925	301.312	90.811	88.209	120.701	204.443	212.031	539.453	113.58	80.951
PF00742.22	180.471	0	214.925	301.312	90.811	88.209	120.701	204.443	212.031	539.453	113.58	80.951
PF01565.26	205.064	276.11	185.613	199.345	240.771	203.098	451.834	47.082	123.536	225.839	150.563	214.597
PF02873.19	205.064	276.11	185.613	199.345	240.771	187.082	400.22	28.617	123.536	225.839	150.563	214.597
PF08402.13	442.824	468.934	485.005	372.926	299.729	290.049	315.339	465.56	489.282	307.057	514.076	328.843
PF00528.25	11398.876	9697.656	9678.71	9805.363	11262.14	9573.632	9565.742	11177.63	8731.973	9429.247	10731.292	9997.589
PF13416.9	2946.165	2244.322	2803.438	3037.643	2795.574	2582.953	2518.811	2573.868	2705.553	2945.861	2626.15	2950.975
PF01553.24	167.567	866.29	490.35	254.155	219.252	409.972	407.041	189.815	246.605	365.448	756.284	685.966
PF00122.23	1002.596	1747.249	1052.647	923.241	891.281	1442.057	1109.141	950.719	1068.298	819.838	1022.041	827.979
PF01594.19	721.977	740.385	655.815	761.339	650.414	702.367	517.638	378.247	603.675	817.503	556.07	968.303
PF13424.9	177.292	143.217	179.974	141.817	125.848	327.159	82.984	167.161	151.365	186.775	169.238	55.655
PF02525.20	151.328	331.319	235.536	272.162	337.085	299.327	255.992	241.19	141.193	361.329	281.056	214.597
PF02776.21	862.801	676.866	672.528	656.135	493.194	740.18	639.652	430.94	390.775	699.624	761.227	800.065
PF00205.25	613.445	453.007	471.637	432.964	444.392	474.785	574.797	360.826	304.936	455.523	536.995	452.141
PF02775.24	1350.478	816.432	1099.892	1157.068	1016.47	1344.89	1204.053	1078.419	941.35	1350.743	1381.056	1403.564
PF07517.17	346.853	195.72	340.411	374.648	188.717	206.447	290.645	250.82	276.784	146.303	302.912	238.449
PF01043.23	346.853	195.72	340.411	374.648	188.717	206.447	290.645	250.82	276.784	146.303	302.912	238.449
PF07516.16	346.853	195.72	340.411	374.648	188.717	206.447	290.645	250.82	276.784	146.303	302.912	238.449
PF02810.18	441.827	195.72	831.461	776.957	550.985	1049.552	404.707	445.973	559.138	694.921	832.664	636.745
PF13276.9	1561.089	1996.919	1298.206	848.666	1177.053	1644.622	2642.248	2708.68	1121.189	812.869	661.023	560.051
