FeatureID	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c
PF13393.9	454.227	352.763	187.029	365.85	624.404	224.758	530.578	286.024	431.749	162.733	125.166	248.171	525.957	232.639	188.974	293.099	279.319	362.7
PF01634.21	132.85	118.742	396.701	34.277	0	0	370.961	252.772	335.233	102.79	75.927	35.626	81.661	0	127.255	88.062	0	71.799
PF00815.23	0	0	0	41.744	283.848	114.361	139.969	28.418	193.834	91.989	226.558	43.808	102.404	80.171	64.223	0	71.569	191.011
PF00475.21	354.826	132.209	0	92.01	134.202	252.211	226.053	249.782	212.948	121.436	248.569	95.152	0	0	69.804	0	156.96	212.125
PF01636.26	0	187.232	0	99.261	21.88	299.262	684.011	1039.468	842.339	129.9	397.07	483.689	244.395	369.361	147.486	0	83.35	272.38
PF00117.31	1346.01	1426.98	331.203	454.153	1596.911	746.943	1301.987	2059.818	1746.016	287.483	496.306	963.049	326.515	654.487	494.903	488.892	416.427	1188.975
PF05524.16	128.236	386.315	0	97.8	343.422	90.285	265.237	459.779	318.447	258.012	244.015	69.115	238.834	30.103	273.346	167.018	114.52	144.586
PF00391.26	528.254	750.082	584.242	660.953	760.205	227.474	725.403	882.136	834.866	824.609	551.397	451.241	711.397	658.758	679.117	537.266	571.346	518.892
PF02896.21	287.824	414.096	584.242	639.878	716.134	144.089	739.752	882.136	816.758	923.322	523.533	451.241	711.397	381.763	679.117	537.266	449.776	518.892
PF00977.24	262.764	596.249	398.492	70.178	519.355	299.702	496.514	1024.816	603.149	161.827	497.31	167.5	101.946	0	240.393	108.287	191.655	329.485
PF02811.22	585.19	719.377	758.991	722.528	1519.65	803.096	1311.836	734.769	1185.957	592.801	643.582	796.589	589.166	919.39	686.175	425.643	355.711	1399.372
PF17773.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00581.23	0	90.653	151.21	31.869	674.676	287.811	727.877	453.727	1213.378	264.307	490.944	785.342	0	490.492	858.243	495.286	1422.938	752.007
PF12368.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00180.23	405.68	521.602	0	194.382	829.393	782.323	547.458	836.962	614.114	413.616	567.508	351.196	462.552	234.286	428.095	0	411.649	804.421
PF01195.22	0	0	0	0	417.31	0	276.988	168.182	367.736	230.974	0	198.458	0	92.212	0	0	313.132	0
PF00920.24	125.51	183.923	447.361	317.504	196.155	395.272	451.497	439.112	495.464	141.703	232.679	431.727	152.919	246.79	436.713	329.519	355.155	700.087
