FeatureID	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c
PF12840.10	144.802	384.088	371.008	198.358	1100.629	395.101	364.711	163.924	324.342	0	0	637.244
PF03848.17	0	0	0	0	0	0	0	103.037	0	0	0	0
PF08713.14	0	0	0	0	0	0	85.628	0	38.015	0	0	65.208
PF20047.2	115.747	40.984	0	0	65.959	19.631	0	0	0	428.421	0	0
PF20197.1	0	0	0	0	0	0	0	0	0	106.542	0	0
PF00079.23	30.077	85.462	400.403	152.868	112.056	191.127	132.061	68.053	145.085	0	0	144.76
PF16146.8	0	0	0	0	0	0	0	0	0	0	0	0
PF13690.9	638.852	215.47	357.849	0	575.745	283.284	307.671	149.859	325.849	205.213	0	285.284
PF10105.12	110.125	192.247	0	0	220.082	126.434	124.461	623.383	132.892	0	0	66.297
PF20317.1	0	0	0	0	585.126	69.616	206.876	0	47.35	0	0	0
PF18922.3	287.403	204.292	0	0	0	162.44	252.549	130.142	190.75	120.302	0	103.813
PF09391.13	185.888	33.033	0	0	0	98.497	81.673	0	323.026	626.685	1125.477	0
PF04765.16	0	0	0	0	0	0	32.907	0	0	0	0	0
PF07944.15	100.414	169.162	167.206	383.02	374.425	294.083	132.372	75.798	185.081	143.82	0	169.708
PF09581.13	0	49.284	230.906	352.626	258.484	97.977	328.521	156.981	209.194	0	0	250.467
PF09548.13	0	322.158	252.314	0	280.764	214.085	133.132	0	228.54	0	0	273.639
PF19568.2	0	59.904	140.364	0	0	178.447	185.145	286.233	139.843	94.392	293.198	253.686
PF13685.9	0	0	0	0	0	0	0	0	0	0	0	0
PF08020.14	0	0	0	0	0	0	63.621	165.749	0	0	0	0
PF18982.3	56.262	19.996	93.685	0	0	0	24.719	63.691	84.582	0	0	33.35
PF13835.9	124.83	43.946	0	0	232.687	0	0	0	18.48	0	0	150.275
PF14423.9	0	0	0	0	0	0	0	0	0	0	0	0
PF00805.25	0	0	0	0	0	72.186	49.853	0	0	0	0	0
PF08929.13	0	0	0	0	0	0	0	0	0	0	0	0
PF14433.9	0	0	0	0	0	0	0	0	0	0	0	0
PF14206.9	0	0	0	0	0	0	0	0	0	129.461	0	0
PF17836.4	0	0	0	0	0	0	25.151	0	0	0	0	0
PF17200.7	349.523	357.287	578.607	109.777	574.792	498.689	336.709	394.521	376.199	50.394	150.155	354.919
PF08889.14	0	0	0	0	0	0	0	0	0	0	0	0
PF15609.9	0	22.288	0	0	0	0	31.543	0	0	0	0	0
PF12500.11	0	22.288	0	0	0	0	31.543	0	0	0	0	0
PF15617.9	0	29.107	0	0	0	0	0	0	0	0	0	0
PF00491.24	369.495	86.719	133.882	204.457	299.745	257.111	141.303	95.737	208.103	0	0	266.207
PF11193.11	0	0	0	0	0	48.478	0	75.887	0	0	0	0
PF00801.23	0	0	0	0	0	0	11.988	0	0	0	0	0
PF06180.14	32.357	0	0	0	0	24.631	0	0	19.061	0	0	37.137
PF02570.18	0	43.946	0	0	230.489	13.152	0	0	0	0	0	73.043
PF11760.11	0	0	0	0	0	0	0	0	21.599	0	0	0
PF01890.19	0	0	0	0	0	0	0	0	21.599	0	0	0
PF10137.12	0	0	0	0	0	16.472	0	0	0	0	0	0
PF19789.2	91.489	65.032	190.447	145.17	0	68.241	100.484	103.571	0	0	0	86.558
PF13687.9	96.011	170.616	399.683	0	223.746	204.043	189.826	54.345	152.617	0	0	57.8
PF11188.11	508.754	93.776	0	0	655.848	31.069	386.442	0	106.145	0	0	0
PF10096.12	0	221.8	346.392	0	193.918	211.265	228.503	117.769	172.579	484.154	0	125.233
PF07922.14	292.042	77.846	121.574	0	0	116.06	144.361	247.956	110.13	213.681	0	153.849
PF14897.9	140.163	186.811	291.726	0	261.269	235.188	0	155.423	232.573	248.75	0	84.38
PF10923.11	0	0	0	0	0	0	0	0	17.97	0	0	0
PF09254.14	101.004	116.664	0	128.473	141.225	178.398	122.042	314.451	106.655	0	0	121.612
PF00080.23	159.821	198.814	133.097	0	297.913	225.828	140.439	180.926	42.51	0	0	240.549
PF17996.4	0	0	0	0	0	39.61	0	0	0	0	0	0
PF04994.16	0	0	0	0	0	0	0	0	0	0	0	0
PF11258.11	255.399	274.676	751.116	168.765	123.709	428.565	588.291	439.341	312.22	442.688	0	639.966
PF17479.5	255.399	274.676	751.116	168.765	123.709	428.565	588.291	439.341	312.22	442.688	0	639.966
PF13263.9	97.426	526.366	0	0	181.606	342.811	254	261.219	227.401	0	0	658.736
PF00636.29	373.899	127.619	0	0	0	94.477	0	0	163.992	442.044	0	214.679
PF11728.11	0	14.071	0	0	0	0	35.326	0	0	0	0	49.303
PF19570.2	0	0	0	0	0	0	0	0	0	0	0	0
PF18984.3	111.973	208.009	183.376	168.065	287.433	187.995	238.592	112.205	206.466	260.762	76.582	238.68
PF18983.3	111.973	208.009	183.376	168.065	287.433	187.995	238.592	112.205	206.466	260.762	76.582	238.68
PF03705.18	386.795	382.076	629.149	503.295	94.321	187.085	202.886	302.968	260.197	112.386	0	297.166
PF01739.21	386.795	382.076	629.149	503.295	94.321	187.085	202.886	302.968	260.197	112.386	0	297.166
PF07009.14	0	74.52	0	0	0	217.876	183.539	0	31.135	245.437	0	0
PF20122.2	0	0	0	0	0	224.862	199.759	0	158.144	0	549.2	180.335
PF08006.14	455.559	400.591	0	0	537.416	392.448	302.99	586.53	282.52	623.878	0	112.854
PF13601.9	0	0	0	0	0	0	0	0	0	0	0	0
PF13787.9	0	0	0	0	0	0	0	0	0	0	0	0
PF02016.18	75.959	0	0	0	0	0	0	0	0	252.892	1007.323	43.599
PF17676.4	75.959	0	0	0	0	0	0	0	0	252.892	1007.323	43.599
PF17225.6	0	0	0	0	0	0	0	0	0	118.461	0	0
PF14199.9	281.859	491.111	102.916	314.434	261.269	186.912	165.832	139.979	246.854	322.11	0	264.929
PF02927.17	0	0	0	0	0	0	0	0	0	262.971	0	0
PF00759.22	0	0	0	0	0	0	0	0	0	262.971	0	0
PF14262.9	0	50.556	0	0	0	0	0	0	0	0	0	22.036
PF06283.14	0	0	0	0	0	0	22.025	0	0	0	0	0
PF02493.23	423.909	451.985	1411.755	1616.962	1185.275	561.527	920.163	1439.665	255.773	262.971	0	765.602
PF18975.3	65.187	278.547	108.546	497.396	304.509	172.975	272.155	221.429	127.958	379.73	226.737	236.218
PF11611.11	0	0	0	0	0	0	0	0	0	263.339	0	0
PF01244.24	149.795	146.386	249.434	0	0	167.621	230.317	169.577	114.638	353.681	787.561	135.245
PF05621.14	0	0	211.331	0	0	22.416	27.881	0	0	0	0	0
PF07826.14	110.125	156.558	0	280.041	0	282.048	291.554	124.668	157.812	0	0	66.297
