FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_A0A1I3SYD8_A0A1I3SYD8_9PLAN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0
tr_A0A1I5B965_A0A1I5B965_9CLOT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0
tr_A0A1I5TMJ1_A0A1I5TMJ1_9FIRM	1	0	2	1	2	1	1	0	1	2	1	1	0	1	1	1	4	0	0	1	1
tr_A0A1I6JWA8_A0A1I6JWA8_9FIRM	2	1	0	1	0	0	1	1	1	2	0	0	2	4	1	2	25	9	1	7	3
tr_A0A1I7DPW8_A0A1I7DPW8_9HYPH	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0
tr_A0A1J0A614_A0A1J0A614_9ENTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
tr_A0A1J0KTW9_A0A1J0KTW9_9GAMM	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	6	2	3
tr_A0A1K2I5F7_A0A1K2I5F7_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0
tr_A0A1L3KBE2_A0A1L3KBE2_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0
tr_A0A1L8RIP6_A0A1L8RIP6_9ENTE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	5	0	1	1
tr_A0A1L8SG36_A0A1L8SG36_ENTCA	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	0
tr_A0A1L8W0J9_A0A1L8W0J9_9ENTE	1	0	1	0	1	0	0	0	2	0	1	1	1	0	0	1	1	1	0	1	0
tr_A0A1L8WSH7_A0A1L8WSH7_9ENTE	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	1	1	0	4	1
tr_A0A1L8WSY6_A0A1L8WSY6_9ENTE	0	0	0	0	1	0	0	0	2	0	1	0	0	1	1	1	1	1	0	3	1
tr_A0A1L9QP00_A0A1L9QP00_9CYAN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
tr_A0A1M5SGJ7_A0A1M5SGJ7_9CLOT	0	2	1	2	1	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0
