mouseid	condition	cageid	weight	week
FA1a	FA	1a	38.1	5
FA1b	FA	1b	37.1	5
FA1c	FA	1c	40.2	5
FA2a	FA	2a	36.6	5
FA2b	FA	2b	36.7	5
FA2c	FA	2c	35.6	5
FA3a	FA	3a	32.3	5
FA3b	FA	3b	30.7	5
FA3c	FA	3c	38.8	5
FA4a	FA	4a	34.3	5
FA4b	FA	4b	34.3	5
FA4c	FA	4c	35.4	5
FA5a	FA	5a	36.0	5
FA5b	FA	5b	31.9	5
FA5c	FA	5c	32.7	5
FA6a	FA	6a	35.2	5
FA6b	FA	6b	35.7	5
FA6c	FA	6c	34.0	5
FA7a	FA	7a	29.3	5
FA7b	FA	7b	32.3	5
FA7c	FA	7c	27.2	5
FA8a	FA	8a	31.1	5
FA8b	FA	8b	32.8	5
FA8c	FA	8c	31.2	5
FT1a	FT	1a	31.8	5
FT1b	FT	1b	31.1	5
FT1c	FT	1c	29.8	5
FT2a	FT	2a	29.8	5
FT2b	FT	2b	31.0	5
FT2c	FT	2c	31.7	5
FT3a	FT	3a	26.2	5
FT3b	FT	3b	30.3	5
FT3c	FT	3c	27.9	5
FT4a	FT	4a	27.1	5
FT4b	FT	4b	26.2	5
FT4c	FT	4c	27.2	5
FT5a	FT	5a	25.4	5
FT5b	FT	5b	27.5	5
FT5c	FT	5c	29.3	5
FT6a	FT	6a	27.5	5
FT6b	FT	6b	27.6	5
FT6c	FT	6c	27.7	5
FT7a	FT	7a	26.2	5
FT7b	FT	7b	30.2	5
FT7c	FT	7c		5
FT8a	FT	8a	27.5	5
FT8b	FT	8b	26.4	5
FT8c	FT	8c		5
NA1a	NA	1a	27.8	5
NA1b	NA	1b	26.3	5
NA1c	NA	1c	25.8	5
NA2a	NA	2a	31.0	5
NA2b	NA	2b	25.6	5
NA2c	NA	2c	30.3	5
NA3a	NA	3a	29.9	5
NA3b	NA	3b	27.4	5
NA3c	NA	3c	30.8	5
NA4a	NA	4a	27.5	5
NA4b	NA	4b	23.6	5
NA4c	NA	4c	26.8	5
NA5a	NA	5a	28.7	5
NA5b	NA	5b	27.5	5
NA5c	NA	5c	25.2	5
NA6a	NA	6a	26.7	5
NA6b	NA	6b	26.8	5
NA6c	NA	6c	30.9	5
NA7a	NA	7a	27.5	5
NA7b	NA	7b	28.1	5
NA7c	NA	7c	28.5	5
NA8a	NA	8a	30.8	5
NA8b	NA	8b	30.1	5
NA8c	NA	8c	32.0	5
NT1a	NT	1a	26.7	5
NT1b	NT	1b	26.6	5
NT1c	NT	1c	26.2	5
NT2a	NT	2a	21.1	5
NT2b	NT	2b	25.8	5
NT2c	NT	2c	24.7	5
NT3a	NT	3a	24.0	5
NT3b	NT	3b	25.6	5
NT3c	NT	3c	25.4	5
NT4a	NT	4a	25.8	5
NT4b	NT	4b	26.8	5
NT4c	NT	4c	26.9	5
NT5a	NT	5a	25.0	5
NT5b	NT	5b	27.6	5
NT5c	NT	5c	25.4	5
NT6a	NT	6a	24.5	5
NT6b	NT	6b	26.3	5
NT6c	NT	6c	25.6	5
NT7a	NT	7a	25.5	5
NT7b	NT	7b	23.4	5
NT7c	NT	7c	25.6	5
NT8a	NT	8a	24.0	5
NT8b	NT	8b	21.5	5
NT8c	NT	8c	23.6	5
FA1a	FA	1a	43.2	6
FA1b	FA	1b	40.9	6
FA1c	FA	1c	38.2	6
FA2a	FA	2a	38.9	6
FA2b	FA	2b	38.6	6
FA2c	FA	2c	37.8	6
FA3a	FA	3a	42.9	6
FA3b	FA	3b	33.1	6
FA3c	FA	3c	33.9	6
FA4a	FA	4a	37.8	6
FA4b	FA	4b	39.2	6
FA4c	FA	4c	37.6	6
FA5a	FA	5a	34.7	6
FA5b	FA	5b	38.8	6
FA5c	FA	5c	34.2	6
FA6a	FA	6a	35.4	6
FA6b	FA	6b	37.3	6
FA6c	FA	6c	36.4	6
FA7a	FA	7a	29.7	6
FA7b	FA	7b	27.4	6
FA7c	FA	7c	33.0	6
FA8a	FA	8a	31.6	6
FA8b	FA	8b	33.1	6
FA8c	FA	8c	33.9	6
FT1a	FT	1a	30.3	6
FT1b	FT	1b	33.3	6
FT1c	FT	1c	32.2	6
FT2a	FT	2a	33.1	6
FT2b	FT	2b	31.5	6
FT2c	FT	2c	32.8	6
FT3a	FT	3a	32.2	6
FT3b	FT	3b	28.5	6
FT3c	FT	3c	27.2	6
FT4a	FT	4a	29.0	6
FT4b	FT	4b	28.2	6
FT4c	FT	4c	28.3	6
FT5a	FT	5a	30.3	6
FT5b	FT	5b	28.4	6
FT5c	FT	5c	26.0	6
FT6a	FT	6a	28.1	6
FT6b	FT	6b	28.3	6
FT6c	FT	6c	29.2	6
FT7a	FT	7a	26.7	6
FT7b	FT	7b	30.6	6
FT7c	FT	7c		6
FT8a	FT	8a	28.0	6
FT8b	FT	8b	28.8	6
FT8c	FT	8c		6
NA1a	NA	1a	28.6	6
NA1b	NA	1b	26.9	6
NA1c	NA	1c	26.4	6
NA2a	NA	2a	30.9	6
NA2b	NA	2b	30.4	6
NA2c	NA	2c	26.2	6
NA3a	NA	3a	29.1	6
NA3b	NA	3b	30.2	6
NA3c	NA	3c	27.3	6
NA4a	NA	4a	28.3	6
NA4b	NA	4b	27.8	6
NA4c	NA	4c	23.9	6
NA5a	NA	5a	27.6	6
NA5b	NA	5b	29.6	6
NA5c	NA	5c	24.7	6
NA6a	NA	6a	27.4	6
NA6b	NA	6b	27.6	6
NA6c	NA	6c	31.4	6
NA7a	NA	7a	29.1	6
NA7b	NA	7b	28.2	6
NA7c	NA	7c	29.2	6
NA8a	NA	8a	31.1	6
NA8b	NA	8b	30.8	6
NA8c	NA	8c	32.2	6
NT1a	NT	1a	27.4	6
NT1b	NT	1b	27.2	6
NT1c	NT	1c	26.5	6
NT2a	NT	2a	21.4	6
NT2b	NT	2b	26.1	6
NT2c	NT	2c	25.2	6
NT3a	NT	3a	26.4	6
NT3b	NT	3b	25.0	6
NT3c	NT	3c	26.3	6
NT4a	NT	4a	26.8	6
NT4b	NT	4b	27.4	6
NT4c	NT	4c	27.4	6
