cluster index	parent mass	RTMean
1836	262.1393946886578	0.61679024
1803	360.1876674098443	0.6169067
1798	327.6819405861766	0.6169298
1687	407.15891234219765	0.61702824
2880	347.22824791461755	0.61724186
2106	544.2724051444408	0.61769646
1840	286.1509887015503	0.6179898
2637	348.14031217425384	0.6180539
1907	187.1076597101408	0.61823034
1825	402.2458451589008	0.61828184
1862	188.0917422080597	0.6185049
1866	356.19298118129086	0.6185346
1871	489.26692335738505	0.6188794
1929	301.1506030267752	0.61920875
1932	251.1140205079861	0.6192915
1875	343.23364751343405	0.6193358
1901	275.13504434412613	0.6195942
1990	397.2195259827154	0.6196019
1949	515.1372709404	0.6200057
1921	231.6225714604548	0.6203691
1905	233.10316794503737	0.62062955
1985	245.0767478817397	0.62143
1849	383.2040863338877	0.62151545
1876	317.2180910821536	0.62192845
2207	279.1007957937428	0.62333965
2057	520.1883214791463	0.6241002
2003	310.1758473855051	0.6247503
1903	334.16065002884886	0.6250446
1981	258.10851252700775	0.62539
2079	484.2513876545121	0.62565094
1916	269.1606162564464	0.6258051
2211	239.1503193054569	0.6270957
1951	361.2441633280781	0.6272731
2092	170.0811229041288	0.6276872
1933	246.1445073551082	0.6281109
3046	507.1932230596071	0.6282586
1942	245.1494060133357	0.6292859
2029	195.12333942507053	0.6295
1955	375.22241811516335	0.6299039
2024	290.13423001085715	0.63137263
2145	446.1889460857648	0.63141954
2040	223.62500290291703	0.6320976
2144	518.2935719954024	0.63218737
3327	158.09244532902028	0.6324161
1982	389.2390775426204	0.6328908
2137	435.20766695822925	0.6340257
2009	476.1987366128333	0.6345706
2123	292.16385878016484	0.63461226
2059	259.1286479083147	0.634827
1683	361.17144249209946	0.6350318
2023	229.154720133612	0.63524103
2107	227.1390277739556	0.6353031
2032	200.1029269354231	0.6353323
2273	416.2146337289653	0.63565284
2018	247.65772010331983	0.63568836
1881	359.2648682829463	0.6361064
1801	243.1575983089615	0.63755214
2398	260.09578529619137	0.6377884
2272	591.2241496414105	0.6379706
1898	189.12334570840105	0.6383221
2058	260.1967254237157	0.639001
2195	618.3097266117976	0.6391535
2062	235.11883279746928	0.63980097
2356	529.1753530710453	0.64055276
2080	268.1270920066035	0.64189434
2164	403.2287599103314	0.64340943
2094	574.2465802098743	0.64348125
2033	345.2245397395753	0.64359844
2357	469.2308694990615	0.64396614
2132	494.3083166068982	0.64463925
2414	516.2882800880285	0.64479977
2417	235.1434956741336	0.6448662
2153	230.18623076796987	0.6461578
2143	277.0852496773471	0.6467937
1806	259.09238855135334	0.6471349
2277	521.1717228642005	0.6471141
2752	237.1346196791298	0.64771336
2386	613.1592290467037	0.64801985
2117	270.15567087035635	0.6485383
2339	533.22009996643	0.64903957
1694	249.8254759120611	0.64917964
2213	376.1708062223396	0.6494811
1697	374.2347093189424	0.6503215
2070	628.3046762768271	0.6510212
2158	175.10770240564327	0.651339
2301	607.2932404462883	0.6516081
2482	260.16042516225787	0.652245
1713	747.4621151254777	0.6523531
2179	394.1336867893201	0.65239227
2004	233.14948288639795	0.6525057
2256	485.3081753322839	0.6537953
2408	456.1373462959677	0.65397257
3042	453.2453545092068	0.65433085
2578	319.16186399557216	0.654388
2362	325.1472383696747	0.6548942
1716	405.1978263265572	0.6551144
2152	210.1157660341149	0.65581614
2348	662.3177919257704	0.6564533
1722	471.2924842731466	0.657862
2270	306.202092763309	0.6583075
2294	268.1402724553259	0.6598867
2053	290.17075213366746	0.66120934
2649	408.1778222304094	0.6614196
2302	350.1738375435153	0.66199267
2230	318.11917527036434	0.662478
2329	247.12872990765564	0.66256714
2313	315.1659030335984	0.66308033
2199	705.2674029276675	0.663697
2308	233.11319913220413	0.6648601
2204	175.1189590573864	0.6650249
2377	449.1877609621535	0.6660442
2512	481.24001065353326	0.6670737
1965	348.0702804593655	0.66856045
2736	248.13235581097027	0.66880226
2581	536.2928602947749	0.6688258
2380	330.0595314602828	0.66900325
