CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
43330	43400	18	0.9816	0.343
43330	43552	18	0.9269	-0.333
43330	44159	18	0.9582	-0.336
43330	44706	18	0.9262	-0.338
43400	44706	18	0.9455	-0.680
44046	44706	18	0.9091	-0.342
40507	44594	18	0.9172	0.333
40656	44594	18	0.9151	0.000
43485	44594	18	0.9397	11.017
43839	44594	18	0.9153	0.001
44097	44594	18	0.9318	5.675
44138	44594	18	0.9343	5.341
44179	44594	18	0.9227	4.673
44442	44594	18	0.9216	0.334
44594	44782	18	0.9203	-443.421
41141	44111	18	0.9189	-6.011
41164	44111	18	0.9315	0.332
43383	44111	18	0.9036	-10.350
43585	44111	18	0.9662	-6.011
44111	44131	18	0.9104	0.336
44111	44542	18	0.9066	-0.332
40507	44179	18	0.9111	-4.339
40656	44179	18	0.9177	-4.673
41143	44179	18	0.922	0.334
41148	44179	18	0.9164	-5.007
41185	44179	18	0.9207	1.986
43485	44179	18	0.9039	6.344
44120	44179	18	0.9063	-5.674
43383	43440	18	0.9013	-5.342
43383	43485	18	0.9015	-10.682
43383	43585	18	0.9092	-4.339
43383	44138	18	0.9213	-5.007
43383	44542	18	0.9031	-10.682
40507	44120	18	0.9131	1.335
41121	44120	18	0.9402	6.342
41204	44120	18	0.9434	-0.001
43839	44120	18	0.9117	1.002
44120	44442	18	0.9147	-1.336
44120	44782	18	0.9107	-444.423
40507	41185	18	0.9125	-6.325
40656	41185	18	0.9128	-6.659
41148	41185	18	0.9181	-6.993
41185	43485	18	0.9121	-4.358
41185	43505	18	0.9261	-0.001
41185	43561	18	0.9083	0.332
41121	41141	18	0.9126	0.667
41141	43440	18	0.9361	-1.003
41141	43585	18	0.9259	0.000
41141	44138	18	0.9139	-0.668
43479	44119	18	0.9386	-0.001
43479	44131	18	0.9201	-5.340
41121	43440	18	0.9307	-0.336
43440	43839	18	0.9099	5.675
43440	44138	18	0.9399	0.335
43440	44442	18	0.916	5.342
40656	43485	18	0.9271	-11.017
41143	43485	18	0.9188	-6.010
41148	43485	18	0.9341	-11.351
43485	44097	18	0.9453	5.341
41164	44542	18	0.9469	-0.000
44131	44542	18	0.9117	-0.669
40507	41121	18	0.9296	-5.007
40507	41215	18	0.9042	-5.992
40507	43839	18	0.9346	0.333
40507	44097	18	0.9184	-5.342
40507	44442	18	0.9289	-0.001
40656	44138	18	0.9262	-5.341
41121	44138	18	0.9273	-0.001
41148	44138	18	0.9318	-5.676
43585	44138	18	0.92	-0.668
43839	44138	18	0.9322	-5.340
44097	44138	18	0.926	0.334
40794	43505	18	0.9046	5.665
40794	43559	18	0.9088	5.332
40794	44160	18	0.9291	0.338
41204	44782	18	0.9162	-444.424
44442	44782	18	0.9078	-443.087
40656	41143	18	0.9531	-5.006
40656	41148	18	0.9136	0.335
40656	43537	18	0.9218	-10.348
40656	44097	18	0.9277	-5.675
43559	44151	18	0.9136	-0.000
41121	41204	18	0.9296	6.343
41204	43839	18	0.9043	-1.003
41204	44442	18	0.9114	-1.336
43400	44046	18	0.9287	-0.338
43552	44046	18	0.9311	0.337
41143	41164	18	0.9046	-6.010
41148	41164	18	0.9036	-11.351
41164	43537	18	0.9203	0.668
41164	43585	18	0.9066	6.343
43505	43561	18	0.9352	0.332
41121	44442	18	0.9258	5.006
43839	44442	18	0.9308	-0.333
44097	44442	18	0.9287	5.341
41143	41148	18	0.9343	5.341
41143	43537	18	0.9369	-5.342
41143	43585	18	0.906	0.333
41143	44097	18	0.928	-0.669
41121	43839	18	0.9181	5.340
43400	44159	18	0.9467	-0.678
43839	44097	18	0.9128	-5.675
43400	43552	18	0.9185	-0.675
41148	44097	18	0.9492	-6.010
44119	44131	18	0.9029	-5.339
19119	26264	19	0.793	85.087
21734	26264	19	0.8124	85.089
22726	26264	19	0.911	-0.001
26264	38768	19	0.8539	29.027
15558	26264	19	0.8602	-127.064
16909	26264	19	0.8766	-25.991
17673	26264	19	0.7719	-12.022
18635	30664	19	0.8769	-112.036
26616	30664	19	0.7894	-1.005
17035	30664	19	0.7646	-128.099
17641	30664	19	0.8993	-112.036
17186	17673	19	0.8963	1.004
15558	16909	19	0.8694	-101.073
16909	21734	19	0.7959	-111.080
16909	22726	19	0.899	-25.990
16909	38768	19	0.8864	3.036
20031	20085	19	0.7679	-1.003
14068	17035	19	0.8158	39.064
17035	26894	19	0.8266	-38.033
17035	31775	19	0.8016	-38.032
19119	21734	19	0.8713	-0.002
21734	22726	19	0.8428	85.090
21734	38768	19	0.862	114.116
15558	21734	19	0.875	-212.153
26894	31775	19	0.9312	0.000
14068	31775	19	0.8142	1.032
18893	22726	19	0.7834	-27.995
22726	38768	19	0.9153	29.026
15558	22726	19	0.9488	-127.063
15670	22726	19	0.7671	-27.996
16900	22726	19	0.7749	-27.994
15558	16900	19	0.764	-99.068
15558	38768	19	0.938	-98.037
14068	15670	19	0.8492	-99.067
15670	16900	19	0.9594	-0.002
15670	18893	19	0.9671	-0.001
15670	38768	19	0.78	1.030
18635	26616	19	0.8342	-111.032
26616	31994	19	0.8572	-0.001
17641	26616	19	0.8281	-111.031
18893	38768	19	0.7991	1.031
14068	18893	19	0.8357	-99.067
16900	18893	19	0.9628	0.001
16900	38768	19	0.8096	1.031
20031	23494	19	0.9457	-0.001
18635	31994	19	0.8642	-111.033
23494	31994	19	0.7734	-145.106
17641	31994	19	0.8456	-111.033
14068	16900	19	0.8334	-99.068
14068	26894	19	0.8094	1.031
17641	18635	19	0.942	0.001
157	438	20	0.9824	-0.049
55232	56587	21	0.9462	-53.708
16266	17544	22	0.8829	1269.223
16317	17544	22	0.911	293.681
17496	17544	22	0.9539	0.500
17522	17544	22	0.8893	1268.228
17544	17546	22	0.8948	-293.683
17544	18346	22	0.8933	-263.157
17544	18470	22	0.9086	-293.683
17544	18878	22	0.8895	235.608
18807	23215	22	0.899	-85.015
18878	23215	22	0.9018	-27.995
20104	23215	22	0.8818	-85.016
22842	23215	22	0.9284	17.028
23215	23384	22	0.9519	-14.016
23215	23934	22	0.9251	-15.011
23215	25464	22	0.9496	57.020
23215	26823	22	0.9082	-14.017
23215	28832	22	0.9619	57.020
23384	23934	22	0.9126	-0.995
23934	26823	22	0.8908	0.994
16509	17707	22	0.9242	-0.004
16509	18470	22	0.8842	291.141
23384	26823	22	0.945	-0.001
5481	6547	22	0.9555	0.000
5481	7319	22	0.9438	57.022
5481	7567	22	0.9407	0.000
5481	9170	22	0.9189	0.001
5481	11305	22	0.8953	57.022
5481	12928	22	0.9168	115.064
13398	15798	22	0.9311	-16.029
20203	23583	22	0.9876	-0.001
14085	23583	22	0.9233	-210.139
5282	8761	22	0.9532	-41.958
5385	8761	22	0.9453	-17.994
5819	8761	22	0.9259	-13.926
7206	8761	22	0.9402	-17.993
7319	8761	22	0.9099	-15.941
7765	8761	22	0.9658	0.000
8653	8761	22	0.9365	-24.977
8761	8856	22	0.9193	17.993
8761	10141	22	0.9622	-0.000
11963	12459	22	0.8886	40.031
12928	15872	22	0.898	-74.015
14085	15872	22	0.909	-131.037
15798	15872	22	0.928	-97.053
15872	16823	22	0.9945	-0.001
15872	18807	22	0.9531	-0.002
15872	20104	22	0.9574	-0.001
18807	25464	22	0.8849	-27.995
18878	25464	22	0.8878	29.026
25464	28832	22	0.994	-0.000
13713	14188	22	0.9025	13.935
13713	14531	22	0.9315	13.979
13713	20909	22	0.8923	17.026
5282	7765	22	0.9518	-41.958
5385	7765	22	0.9647	-17.994
5610	7765	22	0.9574	-15.942
5819	7765	22	0.9445	-13.926
7158	7765	22	0.9531	-24.977
7206	7765	22	0.9592	-17.993
7765	8653	22	0.9438	24.977
7765	8856	22	0.9298	17.993
7765	10141	22	0.9628	-0.000
18807	24194	22	0.9093	-71.000
24194	27522	22	0.9881	-0.001
18807	20104	22	0.9606	0.001
12928	20104	22	0.8977	-74.016
15798	20104	22	0.8911	-97.054
16823	20104	22	0.9629	-0.000
20909	24222	22	0.8819	27.995
24222	25792	22	0.9823	-0.074
24222	25978	22	0.9561	-0.001
24222	27651	22	0.9825	-0.000
12459	13322	22	0.9127	287.185
14085	15798	22	0.9452	-33.984
15798	16823	22	0.9146	-97.053
4281	7921	22	0.9025	-0.000
4281	8740	22	0.898	-0.000
4281	12928	22	0.9014	-113.084
18878	28832	22	0.9052	29.025
11053	13322	22	0.929	49.979
14188	14531	22	0.9835	0.044
5282	5819	22	0.9342	-28.032
5385	5819	22	0.9497	-4.068
5610	5819	22	0.9611	-2.016
5819	7158	22	0.9315	11.051
5819	7206	22	0.9478	4.067
5819	8856	22	0.9296	4.067
5819	10141	22	0.9514	-13.926
5819	14085	22	0.9309	117.079
2438	7921	22	0.8843	-0.000
2438	8740	22	0.9085	-0.000
16266	18374	22	0.9582	-0.003
17522	18374	22	0.946	-0.998
14085	20203	22	0.9225	-210.138
16262	16266	22	0.924	-0.997
16262	16317	22	0.8957	974.544
16262	17522	22	0.9289	-0.002
16262	18353	22	0.9554	1016.563
16262	18470	22	0.9053	974.542
16317	17522	22	0.918	-974.547
16317	17546	22	0.9241	-0.002
16317	17707	22	0.8835	-291.146
16317	18470	22	0.9327	-0.002
