sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P7_H2_TDCA_ctrl_0h.mzML Peak area	P7_H2_TDCA_ctrl_0h.mzML	P7	H2	TDCA	ctrl	0h
P4_H2_TDCA_ctrl_0h.mzML Peak area	P4_H2_TDCA_ctrl_0h.mzML	P4	H2	TDCA	ctrl	0h
P7_H1_TLCA_ctrl_0h.mzML Peak area	P7_H1_TLCA_ctrl_0h.mzML	P7	H1	TLCA	ctrl	0h
P4_H1_TLCA_ctrl_0h.mzML Peak area	P4_H1_TLCA_ctrl_0h.mzML	P4	H1	TLCA	ctrl	0h
P4_H4_TUDCA_ctrl_0h.mzML Peak area	P4_H4_TUDCA_ctrl_0h.mzML	P4	H4	TUDCA	ctrl	0h
P7_H4_TUDCA_ctrl_0h.mzML Peak area	P7_H4_TUDCA_ctrl_0h.mzML	P7	H4	TUDCA	ctrl	0h
P5_H10_GCA_ctrl_24h.mzML Peak area	P5_H10_GCA_ctrl_24h.mzML	P5	H10	GCA	ctrl	24h
P3_H10_GCA_ctrl_24h.mzML Peak area	P3_H10_GCA_ctrl_24h.mzML	P3	H10	GCA	ctrl	24h
P3_H8_GCDCA_ctrl_24h.mzML Peak area	P3_H8_GCDCA_ctrl_24h.mzML	P3	H8	GCDCA	ctrl	24h
P5_H8_GCDCA_ctrl_24h.mzML Peak area	P5_H8_GCDCA_ctrl_24h.mzML	P5	H8	GCDCA	ctrl	24h
P5_H7_GDCA_ctrl_24h.mzML Peak area	P5_H7_GDCA_ctrl_24h.mzML	P5	H7	GDCA	ctrl	24h
P3_H7_GDCA_ctrl_24h.mzML Peak area	P3_H7_GDCA_ctrl_24h.mzML	P3	H7	GDCA	ctrl	24h
P5_H6_GLCA_ctrl_24h.mzML Peak area	P5_H6_GLCA_ctrl_24h.mzML	P5	H6	GLCA	ctrl	24h
P3_H6_GLCA_ctrl_24h.mzML Peak area	P3_H6_GLCA_ctrl_24h.mzML	P3	H6	GLCA	ctrl	24h
