FeatureID	Name	GO_Term	condition	datatype	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF11867.11	Domain of unknown function (DUF3387)	NA	FA	metaT	0.000702527924750147	1	24	5	0.0186399050092983	0.112847482343957	1	21.7760617760618	5.17256108695467	0.0693880420511341	0.000827869263489101	1	22.8880308880309	5.10251581710138	0.0429042356985808	0.0299865270570208	0.0299865270570208
PF00627.34	UBA/TS-N domain	NA	FA	metaT	0.000702527924750147	1	20	17	0.0494333605275255	0.138684547665505	1	20.5839416058394	16.5368034345662	0.125070263988629	0.000997328003570885	1	20.2919708029197	16.7752070146618	0.0462966637307572	0.0645827160903625	0.0645827160903625
PF04898.17	Glutamate synthase central domain	nitrogen compound metabolic process	FT	metaT	0.000702527924750147	0.195503485344755	20	9	0.0217931937783666	0.0613383530273338	1	21.4448669201521	7.53804425569218	0.0586574353490908	0.000476259300916992	0.33134039935225	20.7224334600761	8.30459905276555	0.0349921185846768	0.017561848201868	0.017561848201868
PF13396.9	Phospholipase_D-nuclease N-terminal	NA	FT	metaT	0.000702527924750147	0.195503485344755	24	21	0.0874073159972106	0.194055673803831	1	24	20.9999437451078	0.321311632821101	0.00134972172879688	0.365174712180045	24	20.9999718725539	0.178173612589547	0.0645959749422869	0.0645959749422869
PF13495.9	Phage integrase, N-terminal SAM-like domain	DNA integration	FT	metaT	0.000702527924750147	0.195503485344755	24	3	0.0853109821942657	0.293147241381356	1	24	1.00007368029384	0.396049255067323	0.00195397841418066	0.369919924894688	24	2.00003684014692	0.180133111108368	0.102833721482576	0.102833721482576
PF02219.20	Methylenetetrahydrofolate reductase	methionine metabolic process	FT	metaT	0.000702527924750147	0.195503485344755	24	3	0.106265380874626	0.253831223674873	1	24	1.00007368029384	0.855269667854591	0.00171759632111512	0.366221786300128	24	2.00003684014692	0.443424788306253	0.149760009416415	0.149760009416415
PF01261.27	Xylose isomerase-like TIM barrel	NA	FT	metaT	0.000702527924750147	0.195503485344755	24	1	0.360985329164542	0.0908637045170826	1	24	1.00007368029384	1.70128957042964	0.000680423741694303	0.349248724190982	24	1.00003684014692	0.902028233054339	0.476334062794166	0.476334062794166
PF03952.19	Enolase, N-terminal domain	NA	FT	metaT	0.000702527924750147	0.195503485344755	24	9	0.366147322563363	0.379745938537653	1	20	8.80681290310476	2.34596428016837	0.00246215311502862	0.39698625363092	22	8.96874709670762	1.01037848094335	0.740155701431918	0.732552914963968
PF00113.25	Enolase, C-terminal TIM barrel domain	NA	FT	metaT	0.000702527924750147	0.195503485344755	24	9	0.340587807064681	0.384655270047766	1	20	8.8112336038689	2.34795756240745	0.00249051253412158	0.39698625363092	22	8.9711784821279	1.01384751055615	0.736026906879104	0.725973974602307
PF00989.28	PAS fold	regulation of transcription, DNA-templated	FT	metaT	0.000702527924750147	0.195503485344755	24	5	0.0474113166716267	0.162907192342954	1	24	1.00007368029384	0.172227522445441	0.00115309781248707	0.365174712180045	24	3.00003684014692	0.0950928336361161	0.0432067039018299	0.0432067039018299
PF05593.17	RHS Repeat	NA	FT	metaT	0.000702527924750147	0.195503485344755	24	19	0.432461688809613	0.134099642439482	1	22.03125	16.8464993592057	1.15680084827405	0.000967523566202777	0.349248724190982	23.015625	17.9099592065106	0.493940367526976	0.584120255888616	0.584120255888616
PF00563.23	EAL domain	NA	FT	metaT	0.000702527924750147	0.195503485344755	20	1	0.174615478571332	0.139197829790211	1	24	20.9999263197062	0.897415154094722	0.00100065792934045	0.349248724190982	22	21.1749662298653	0.726874306014795	0.295821874321599	0.295821874321599
PF00376.26	MerR family regulatory protein	regulation of transcription, DNA-templated	FT	metaT	0.000702527924750147	0.195503485344755	20	17	0.033148535503092	0.0827751284715411	1	20	15.5858241237716	0.0674858627023778	0.000625274921078556	0.349248724190982	20	16.2929120618858	0.0283576066496759	0.0360089842803197	0.0360089842803197
PF02056.19	Family 4 glycosyl hydrolase	carbohydrate metabolic process	FT	metaT	0.000702527924750147	0.195503485344755	20	7	0.0609922051643201	0.10680121756634	1	21.4448669201521	5.22183932349241	0.180542298869717	0.000787644574517743	0.349248724190982	20.7224334600761	6.14938900383189	0.0967583938826865	0.074090382095882	0.074090382095882
PF04986.16	Putative transposase	transposition, DNA-mediated	FT	metaT	0.000702527924750147	0.195503485344755	24	3	0.153557378149764	0.115910855207235	1	24	1.00007368029384	0.624503257102141	0.000848161658490887	0.349248724190982	24	2.00003684014692	0.289218003406608	0.194963789259557	0.194963789259557
PF01386.22	Ribosomal L25p family	translation	FT	metaT	0.000702527924750147	0.195503485344755	24	11	0.115842154549938	0.0702157126615198	1	22.834008097166	10.4525326023932	0.316537834776707	0.000538519645390978	0.346962996990847	23.417004048583	10.7260996487437	0.174659761074312	0.129171141863963	0.129171141863963
PF10387.12	Protein of unknown function (DUF2442)	NA	FT	metaT	0.000702527924750147	0.195503485344755	24	3	0.0337228417819431	0.137734913501611	1	24	1.00007368029384	0.125338954350648	0.000991163714754606	0.349248724190982	24	2.00003684014692	0.0449059664766719	0.0403299367340389	0.0403299367340389
PF02625.19	XdhC and CoxI family	NA	FT	metaT	0.000702527924750147	0.195503485344755	24	3	0.0115084189519338	0.18995599487763	1	24	1.00007368029384	0.0442557244813718	0.00132405659789725	0.365174712180045	24	2.00003684014692	0.0157955696060596	0.0141293398558407	0.0141293398558407
PF03787.18	RAMP superfamily	NA	FT	metaT	0.000702527924750147	0.195503485344755	24	5	0.0486746739748287	0.210148779584385	1	20.9665427509294	5.69943721260683	0.153399477769139	0.00144989242163862	0.366221786300128	22.4832713754647	5.39787589787386	0.0679640335496454	0.0933773538950679	0.0933773538950679
PF19886.2	Domain of unknown function (DUF6359)	NA	FT	metaT	0.000702527924750147	0.195503485344755	20	13	0.0360809640039563	0.0747428561275671	1	20.4347826086957	12.5259896767219	0.109069025495483	0.000569959748650262	0.346962996990847	20.2173913043478	12.7670194076106	0.0590545082955139	0.0438759537073002	0.0438759537073002
PF01996.19	F420-0:Gamma-glutamyl ligase	NA	FT	metaG	0.000702527924750147	1	24	9	0.304867008215726	0.513764394425033	1	21.6923076923077	6.87294913053753	1.96016094134489	0.00322198988745059	1	22.8461538461539	7.90291961170287	0.852086257079044	0.961212405974988	0.961212405974988
PF01592.19	NifU-like N terminal domain	iron-sulfur cluster assembly	NA	metaT	0.000755028774330245	0.183849506549415	24	21	0.938250970385938	0.0694982341802269	1	24	20.9999263197062	2.58025727561729	0.000569607170710085	0.175431886822478	24	20.9999631598531	1.22479944988644	0.994326757096691	0.811828219868063
PF02517.19	Type II CAAX prenyl endopeptidase Rce1-like	CAAX-box protein processing	NA	metaT	0.000755028774330245	0.183849506549415	20	7	0.942706552690531	0.0329175689523372	1	20.9852216748768	5.4808664201319	2.78088958001733	0.00028836527622822	0.156037655025714	20.4926108374384	6.26231068854101	1.66079745106548	1.03647387199515	0.624082046447151
