CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
35422	40017	-1.998	0.000	0.8582	0.8404	1
35423	36141	0.002	0.000	0.9413	0.8133	1
35423	36573	-0.036	0.000	0.7431	0.7483	1
35423	40056	-1.998	0.000	0.8696	0.6994	1
35423	42783	-3.036	0.000	0.7765	0.8308	1
35423	42995	-4.010	0.000	0.7918	0.7203	1
35451	35654	9.984	0.000	0.7503	0.6831	1
35451	36138	-0.000	0.000	0.8235	0.5561	1
35451	36480	9.983	0.000	0.7303	0.6616	1
35451	36623	-1.997	0.000	0.8222	0.7671	1
35451	38215	-2.052	0.000	0.7095	0.5690	1
35451	40181	-1.999	0.000	0.8376	0.7578	1
35452	36143	-0.000	0.000	0.9703	0.8993	1
35493	36075	-4.021	0.000	0.7512	0.4138	1
35493	36157	-2.016	0.000	0.8111	0.4548	1
35493	36244	-0.000	0.000	0.9570	0.8033	1
35493	36901	0.000	0.000	0.7647	0.6363	1
35493	37201	-4.022	0.000	0.7205	0.3327	1
35500	40548	2.016	0.000	0.7488	0.5855	1
35500	44745	-9.984	0.000	0.8548	0.6610	1
35504	36168	-0.000	0.000	0.7222	0.6515	1
35504	36914	-0.001	0.000	0.7358	0.5959	1
35504	37674	-0.000	0.000	0.7476	0.3919	1
35504	40517	2.016	0.000	0.7202	0.5263	1
35504	42553	0.984	0.000	0.7333	0.3315	1
35525	36034	-2.016	0.000	0.9383	0.8458	1
35525	36119	0.000	0.000	0.9884	0.9220	1
35525	36419	-2.016	0.000	0.9158	0.7877	1
35525	44960	2.016	0.000	0.7459	0.3618	1
35564	35844	10.020	0.000	0.8336	0.7618	1
35564	36675	-1.032	0.000	0.7101	0.5650	1
35587	36851	0.002	0.000	0.7340	0.3391	1
35592	35654	-3.994	0.000	0.8673	0.7796	1
35592	36480	-3.994	0.000	0.8427	0.7675	1
35592	36685	-2.015	0.000	0.9036	0.8682	1
35592	36713	-1.031	0.000	0.7342	0.7399	1
35592	38796	-2.015	0.000	0.7533	0.7855	1
35592	39209	-5.956	0.000	0.7469	0.4506	1
35592	39320	0.001	0.000	0.9301	0.7261	1
35592	40864	-2.015	0.000	0.8708	0.7120	1
35602	38522	2.016	0.000	0.7104	0.6477	1
35604	38287	-2.015	0.000	0.9012	0.7311	1
35613	36514	-0.001	0.000	0.9489	0.8068	1
35613	36687	1.978	0.000	0.9191	0.8502	1
35613	38287	1.978	0.000	0.7569	0.4755	1
35613	39426	3.994	0.000	0.8822	0.7394	1
35613	40073	1.978	0.000	0.9012	0.8242	1
35613	40254	10.006	0.000	0.8187	0.7245	1
35624	36517	0.000	0.000	0.8574	0.6346	1
35624	36680	1.977	0.000	0.7883	0.5730	1
35624	40268	1.979	0.000	0.7392	0.4278	1
35624	40495	3.994	0.000	0.7730	0.6754	1
35626	36530	-0.000	0.000	0.9244	0.8482	1
35632	36508	0.000	0.000	0.8301	0.4417	1
35654	36480	-0.000	0.000	0.9599	0.9389	1
35654	36685	1.979	0.000	0.9129	0.8177	1
35654	36713	2.963	0.000	0.7503	0.8056	1
35654	37190	0.062	0.000	0.7659	0.6016	1
35654	38063	3.994	0.000	0.7721	0.5335	1
35654	38100	0.984	0.000	0.7096	0.5272	1
35654	38796	1.979	0.000	0.8328	0.8081	1
35654	39209	-1.962	0.000	0.7542	0.4011	1
35654	39320	3.995	0.000	0.8718	0.7590	1
35654	39601	-9.036	0.000	0.7202	0.5869	1
35654	40864	1.979	0.000	0.9017	0.7916	1
35660	36532	0.000	0.000	0.7919	0.4390	1
35660	36681	1.979	0.000	0.8103	0.5081	1
35660	38380	1.979	0.000	0.7081	0.4345	1
35660	39398	3.996	0.000	0.8645	0.7993	1
35660	40227	1.980	0.000	0.9191	0.8704	1
35660	40620	-2.015	0.000	0.8961	0.6713	1
35702	35998	-0.000	0.000	0.8547	0.7763	1
35703	35997	-0.000	0.000	0.9471	0.7647	1
35703	40018	-2.011	0.000	0.8440	0.6840	1
35704	36020	-0.000	0.000	0.9882	0.9361	1
35708	35919	-1.003	0.000	0.9241	0.8046	1
35708	36836	0.000	0.000	0.9331	0.8175	1
35708	36873	-1.002	0.000	0.7713	0.5614	1
35708	37394	-4.022	0.000	0.8597	0.5579	1
35708	37395	-5.025	0.000	0.8104	0.6053	1
35708	37456	0.001	0.000	0.8027	0.6232	1
35708	37561	-2.016	0.000	0.9448	0.7678	1
35777	38215	1.945	0.000	0.7426	0.3510	1
35777	39601	4.945	0.000	0.7425	0.5274	1
35777	41263	1.944	0.000	0.7869	0.4258	1
35777	42301	3.959	0.000	0.7127	0.3360	1
35822	36161	-0.001	0.000	0.9137	0.7101	1
35822	37781	-1.961	0.000	0.8829	0.6935	1
35837	36217	-0.001	0.000	0.7818	0.7825	1
35837	38724	-0.001	0.000	0.8035	0.3842	1
35844	36247	2.016	0.000	0.8557	0.7654	1
35844	36392	8.027	0.000	0.8799	0.7803	1
35844	36628	0.047	0.000	0.9182	0.8106	1
35848	36325	2.016	0.000	0.7793	0.6235	1
35848	36342	0.001	0.000	0.9780	0.9113	1
35848	36410	8.027	0.000	0.8522	0.6768	1
35848	37817	3.996	0.000	0.7067	0.7183	1
35855	36107	-0.002	0.000	0.9535	0.8641	1
35901	36681	-2.016	0.000	0.8023	0.7659	1
35901	40227	-2.015	0.000	0.7517	0.4814	1
35915	36352	0.001	0.000	0.9836	0.8280	1
35919	36836	1.003	0.000	0.8921	0.7866	1
35919	36873	0.001	0.000	0.8080	0.6587	1
35919	37394	-3.019	0.000	0.9182	0.6450	1
35919	37395	-4.022	0.000	0.8944	0.7509	1
35919	37456	1.004	0.000	0.7891	0.6410	1
35919	37561	-1.013	0.000	0.9124	0.7240	1
35924	36396	8.026	0.000	0.7720	0.5413	1
35924	39603	3.047	0.000	0.9160	0.8597	1
35952	36222	0.001	0.000	0.8687	0.3431	1
35967	36247	-1.051	0.000	0.7028	0.7030	1
35967	36326	-2.054	0.000	0.8229	0.6866	1
35967	36626	-2.017	0.000	0.8330	0.6474	1
35967	40017	-2.017	0.000	0.8801	0.6936	1
35969	42013	1.947	0.000	0.8861	0.7310	1
35997	40018	-2.011	0.000	0.8624	0.7975	1
35998	43632	-0.054	0.000	0.7099	0.7665	1
36010	36280	0.001	0.000	0.7554	0.5205	1
36010	38515	-8.060	0.000	0.7551	0.4585	1
36016	36790	-1.982	0.000	0.8451	0.4700	1
36020	36329	0.000	0.000	0.9841	0.9175	1
36034	36119	2.016	0.000	0.9454	0.8466	1
36034	36419	0.000	0.000	0.9706	0.8960	1
36034	44585	2.017	0.000	0.7370	0.3657	1
36049	36866	-4.031	0.000	0.7629	0.7365	1
36049	37702	-4.032	0.000	0.7029	0.5659	1
36049	37904	-2.016	0.000	0.7856	0.5323	1
36049	41396	3.995	0.000	0.8451	0.5593	1
36049	41678	-0.036	0.000	0.7700	0.7635	1
36049	42552	1.979	0.000	0.7047	0.5292	1
36049	43701	3.995	0.000	0.8453	0.8114	1
36049	45698	3.995	0.000	0.7283	0.4672	1
36051	41044	0.000	0.000	0.7752	0.5083	1
36057	37567	0.000	0.000	0.7982	0.6296	1
36057	37882	2.016	0.000	0.7742	0.6117	1
36057	37905	-2.016	0.000	0.8150	0.5823	1
36057	38359	0.000	0.000	0.8082	0.6553	1
36057	39107	3.012	0.000	0.7584	0.6213	1
36057	39123	2.016	0.000	0.7046	0.6098	1
36057	41253	3.011	0.000	0.9104	0.7814	1
36057	41797	2.016	0.000	0.7399	0.5971	1
36057	42548	0.995	0.000	0.7110	0.5677	1
36061	37895	-2.016	0.000	0.7159	0.4346	1
36061	38282	0.000	0.000	0.7027	0.6290	1
36061	38855	-2.016	0.000	0.7029	0.5528	1
36061	42361	-2.016	0.000	0.7458	0.5807	1
36061	42555	1.980	0.000	0.7111	0.5539	1
36061	44354	3.996	0.000	0.7144	0.6836	1
36074	39585	-0.003	0.000	0.9436	0.7970	1
36075	36091	-1.003	0.000	0.9195	0.6232	1
36075	36157	2.006	0.000	0.8336	0.6338	1
36075	36244	4.021	0.000	0.7451	0.4428	1
36075	37201	-0.000	0.000	0.7419	0.6656	1
36075	39624	2.006	0.000	0.7529	0.3832	1
36091	36157	3.009	0.000	0.7601	0.4605	1
36091	39624	3.009	0.000	0.7633	0.5443	1
36095	36851	3.048	0.000	0.9073	0.8746	1
36119	36419	-2.016	0.000	0.9377	0.8228	1
36119	44960	2.016	0.000	0.7443	0.3822	1
36125	36230	3.011	0.000	0.8341	0.7608	1
36135	36326	-2.035	0.000	0.7668	0.7006	1
36135	36626	-1.999	0.000	0.8359	0.8128	1
36135	38151	2.926	0.000	0.7747	0.6490	1
36135	40017	-1.999	0.000	0.8984	0.8776	1
36138	36623	-1.997	0.000	0.7199	0.5486	1
36141	36573	-0.037	0.000	0.7673	0.7630	1
36141	40056	-2.000	0.000	0.8190	0.5651	1
36141	42783	-3.037	0.000	0.7491	0.6857	1
36141	42995	-4.012	0.000	0.7724	0.6130	1
36147	36633	-1.998	0.000	0.7593	0.4110	1
