FeatureID	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c
tr_C4FAG1_C4FAG1_9ACTN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_C6LHK8_C6LHK8_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_C6PU30_C6PU30_9CLOT	2	1	2	1	1	2	1	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
tr_D3L852_D3L852_OENOE	78	133	157	23	134	67	65	21	130	180	123	89	98	36	188	51	30	51	33	127	18	26	32	268	108	104	79	47	71	51	47	74	73	19	39	21	195	120	59	174	37	99
tr_E7GDJ9_E7GDJ9_9FIRM	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_E7GNR6_E7GNR6_CLOSY	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_G1WLB3_G1WLB3_9ACTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_G5HTY0_G5HTY0_9FIRM	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_G9YR35_G9YR35_FLAPL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_G9YSR9_G9YSR9_FLAPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
